Player,Rundle,QPct
AkselrodH,C Skyline,0.56666666666667
AlabanL,E Peninsula Div 2,0.30666666666667
Alagna S,D Orbital Div 2,0.38666666666667
AlailimaT,B Patagonia,0.56666666666667
AlanoS,A Badlands,0.83333333333333
AlappattuJ,A Typhoon,0.70666666666667
AlaverdyanM,C Windward Div 1,0.45138888888889
AlawaysL,D Alpine Div 2,0.4
AlayonJ,A Ridge,0.66
AlbanD,E Elysium Div 1,0.43333333333333
AlbaneseM,B Woodlands,0.64
Albano-BachtellA,D Evergreen Div 2,0.42
AlbersJ,E Cherry Div 2,0.40972222222222
AlbersK,C Sahara Div 1,0.50666666666667
AlbersP,C Foothills,0.48666666666667
AlbertB,C Yukon Div 2,0.58666666666667
AlbertJ,A Olive,0.6875
AlbertJB,C Midland,0.5
AlbertM,B Atlantic,0.58
AlbertMandyL,A Midland,0.70666666666667
AlbertsonA,E Seaboard Div 2,0.23913043478261
AlbertsonB,E Utopia Div 2,0.19333333333333
AlbertsonJC,D Yukon Div 2,0.54
AlbertsR,C Foundry,0.48
AlbisMTross,D Byzantium Div 2,0.48
AlbrechtA,C Union Div 2,0.48666666666667
AlbrechtD,E Cascade Div 1,0.45333333333333
AlbrechtJ,A Frontier,0.69333333333333
AlbrechtM,B Gulf,0.58666666666667
AlbrechtZ,A Frontier,0.70666666666667
AlbrightM,C Sahara Div 2,0.52
Alcorn P,E Overlook Div 2,0.36111111111111
AlcornG,B Fjord,0.55333333333333
AlcornR,B Keystone,0.51333333333333
AlcornS,E Ranger Div 2,0.47826086956522
AldayB,D Mesa Div 1,0.45138888888889
AldenL,D Tundra Div 1,0.50666666666667
AldenN,E Palisade Div 2,0.15277777777778
AldereteM,R Div 65,0.4
AldermanD,A Seneca,0.65942028985507
AldershofN,D Sugarloaf Div 1,0.48611111111111
AldhousP,C Isthmus Div 1,0.49333333333333
AldrichD,E Vista Div 2,0.32608695652174
AldrichK,D Horizon Div 1,0.36666666666667
AlegriaD,D Vista Div 2,0.35333333333333
Alencar LulaM,E Pioneer Div 1,0.4
AleshireL,B Memorial,0.46376811594203
AlessandroP,D Cerulean Div 1,0.22463768115942
AlessiC,D Olive Div 2,0.38
AlevyM,E Sunrise Div 1,0.44666666666667
Alexander C,C Veldt,0.59420289855072
Alexander-Fagan S,D Typhoon Div 1,0.45333333333333
Alexander-HoeppnerJ,E Pacific Div 2,0.48666666666667
AlexanderB,D Denali Div 2,0.34
AlexanderC2,R Div 26,0.44444444444444
AlexanderDJ,C Rubicon Div 2,0.45333333333333
AlexanderJK,C Volcano Div 1,0.57638888888889
AlexanderJR,A Maritime,0.70138888888889
AlexanderJS,A Seaboard,0.86666666666667
AlexanderM,C Sierra Div 1,0.63333333333333
AlexanderM755,B Byzantium,0.65972222222222
AlexanderMJ,B Continental,0.66
AlexanderS2,D Seaboard Div 2,0.37333333333333
AlexanderT,A Cosmos,0.92
AlexanderT212,C Mesa Div 2,0.70634920634921
AlexanderTD,D Alpine Div 1,0.47333333333333
AlexanderW,D Labyrinth Div 1,0.45333333333333
AlexandrowN,A Riviera,0.60416666666667
AlexsonP,D Denali Div 2,0.36
AlexsonT,E Denali Div 1,0.32666666666667
AlfanoK,C Isthmus Div 1,0.52777777777778
AlfanoS,D Isthmus Div 1,0.33333333333333
AlfordP,B Commonwealth,0.5
Ali A,D Zenith Div 2,0.35416666666667
AlianielloD,E Savanna Div 1,0.34090909090909
